"","City","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","Latitude","Longitude"
"1","aberdeen","25/10/1999","aberdeen, south dakota","Private charter","Orlando, FL - Dallas, TX","Gates Learjet 35",6,6,0,1,0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons.",1999,10,"Oct",NA,17.0666667,-61.8166667
"2","abidjan","03/01/1987","abidjan, ivory coast","Varig","Abidjan - Rio de Janeiro","Boeing B-707-379C",51,50,1,0.98,0,"The plane crashed in the jungle while returning to Abidjan after taking with the No. 1 engine on fire.",1987,1,"Jan",NA,5.309657,-4.012656
"3","abidjan","30/01/2000","abidjan, ivory coast","Kenya Airways","Abidjan - Lagos","AirbusA310-304",179,169,10,0.94,0,"The aircraft crashed into the AtlantiOcean three minutes after taking from Felix Houphouet-Boigny Airport.  A few seconds after lifting the ground the stall warning sounded and continued for about 20 seconds until it was manually turned by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeconditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.",2000,1,"Jan",NA,5.309657,-4.012656
"4","abidjan","26/06/1994","abidjan, ivory coast","Air Ivorie","San Pedro - Abidjan","Fokker F-27 Friendship 400M",17,17,0,1,0,"Crashed on approach 3 miles short of the runway into a wooded area.",1994,6,"Jun",NA,5.309657,-4.012656
"5","acapulco","12/10/1973","acapulco, mexico","Avionas  Banamex","","de Havilland DH-125-1A",8,8,0,1,0,"Crashed while approaching to land.",1973,10,"Oct",NA,6.475564,-71.712911
"6","acapulco","13/08/1966","acapulco, mexico","Aeronaves de Mexico","Training","Douglas DC-8-51",6,6,0,1,0,"The plane crashed while on approah. Careless and untimely descent in the course of a procedure turn which was continued below established minimum altitude.",1966,8,"Aug",NA,6.475564,-71.712911
"7","adana","03/04/1954","adana, turkey","Devlet Hava Yollari","Adana - Istanbul","Douglas DC-3",25,25,0,1,0,"Crashed en route approximately 15 minutes after takefrom Adana.",1954,4,"Apr",NA,42.822423,-2.474903
"8","adana","21/01/1972","adana, turkey","Turkish Airlines (THY)","Damascus - Ankara","MDonnell Douglas DC-9-32",8,1,7,0.13,0,"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire.",1972,1,"Jan",NA,42.822423,-2.474903
"9","addis ababa","18/04/1972","addis ababa, ethiopia","East African Airways","Addis Ababa - Rome","BAC Super VC-10 1154",107,43,64,0.4,0,"The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.",1972,4,"Apr",NA,9.024325,38.749226
"10","addis ababa","02/10/1964","addis ababa, ethiopia","Interocean","Dublin, Ireland - Addis Ababa","Lockheed L-749A-79 Constellation",7,1,6,0.14,0,"The cargo plane left the runway and crashed while landing.",1964,10,"Oct",NA,9.024325,38.749226
"11","addis ababa","14/01/1982","addis ababa, ethiopia","Military - Ethiopian Air Force","","Antonov AN-26",73,73,0,1,0,"Shot down by rebel forces.",1982,1,"Jan",NA,9.024325,38.749226
"12","agana","01/03/1978","agana, guam","Island Air","Agana, Guam - Rota, TT","Cessna 337F",6,2,4,0.33,0,"Crashed after experiencing engine failure on takeclimbout.",1978,3,"Mar",NA,-15.8833333,-67.8166667
"13","agana","19/09/1960","agana, guam, mariana islands","World Airways","Guam - Wake Island","Douglas DC-6AB",94,80,14,0.85,0,"The aircraft was carrying American servicemen and dependants. Less than a minute after taking off, the aircraft crashed on Mt. Barrigada bursting into flames on impact. The casualties were more attributable to the effects of the fire than the crash. Failure of the pilot to comply with published departure procedures by initiating a right turn before attaining an altitude of 1,000 ft.",1960,9,"Sep",NA,-15.8833333,-67.8166667
"14","agana","06/08/1997","agana, guam","Korean Airlines","Seoul - Guam","Boeing B-747-300",254,229,25,0.9,0,"The aircraft crashed into Nimitz Hill, 3 miles short of Runway 06R, while making a non-precision approach in heavy rain to A.B. Won Guam International Airport. The runway glide slope system was inoperative. In addition, the Minimum Safe Altitude Warning system (MSAW) was also not working due to a software problem. The captainäó»s failure to adequately brief and execute the non-precision approach and the first officer's and flight engineer's failure to effectively monitor and cross-check the captainäó»s execution of the approach. Contributing to these failures were the captain's fatigue and Korean Air's  inadequate flight crew training. Contributing to the accident was the Federal Aviation Administration's (FAA) intentional inhibition of the MSAW at Guam and the agency's failure to adequately manage the system.",1997,8,"Aug",NA,-15.8833333,-67.8166667
"15","agana","04/06/1976","agana, guam","Air Manila","Wake Island - Guam - Manila","Lockheed 188A Electra",45,45,0,1,1,"The No. 3 engine failed during the takeroll as the plane left Agana Naval Air Station. The aircraft began to rise but struck terrain and exploded in flames. The loss of climb capability after the crew retracted the flaps at too low an altitude to clear the rising terrain. The flaps were retracted after the No. 3 propeller feathered as the aircraft lifted the runway. A driver in an automobile struck by the aircraft was killed.",1976,6,"Jun",NA,-15.8833333,-67.8166667
"16","agra","29/06/1969","agra, india","Military - Indian Air Force","","Fairchild C-119",14,14,0,1,0,"",1969,6,"Jun",NA,25.15,88.7
"17","agra","22/02/1980","agra, india","Military - Indian Air Force","","Fairchild C-119G",47,46,1,0.98,1,"A bicyclist riding on the runway led the pilot to initiate a premature liftresulting in a stall. The plane was carrying paratroopers.",1980,2,"Feb",NA,25.15,88.7
"18","agudos","08/02/1979","agudos, brazil","TAM Lineas Aí©reas Regional","Bauru - Sao Paulo","Embraer 110C Bandeirante",18,18,0,1,0,"Hit trees and burst into flames shortly after taking off.",1979,2,"Feb",NA,-25.9892,-49.3342
"19","ajaccio","10/01/1923","ajaccio, france","Amee de l'Air","","Liorí©-et-Olivier H-13",4,3,1,0.75,0,"",1923,1,"Jan",NA,41.927226,8.734619
"20","ajaccio","21/01/1936","ajaccio, corsica, france","Air France","Marseille - Tunis","CAMS 53",6,6,0,1,0,"Vanished the coast of Corsica after sending a distress call that the engine had failed.",1936,1,"Jan",NA,41.927226,8.734619
"21","albacete","18/01/1950","albacete, spain","Ejercito del Aire","","Junkers JU-52/3m",16,16,0,1,0,"The military plane crashed on the southeast coast of Spain.",1950,1,"Jan",NA,38.995845,-1.857773
"22","albacete","25/05/1948","albacete, spain","Alpha Airways","","Handley Page Halifax C-8",4,4,0,1,1,"Crashed on takeoff.",1948,5,"May",NA,38.995845,-1.857773
"23","albania","23/11/1989","albania","Military - People's Army/ Military - Peoples Air Force","","Mil Mi-4 / Mil Mi-4",24,24,0,1,0,"Two helicopters transporting bus accident victims collided in mid-air.",1989,11,"Nov",NA,1.328661,-75.878235
"24","albany","16/09/1953","albany, new york","American Airlines","Boston - Hartford - Albany - Chicago","Convair CV-240-0",28,28,0,1,0,"After circling, the aircraft crashed into two radio towers while on approach to Albany Municipal Airport. While the pilot was aligning with the runway, he descended below obstructions partially obscured by fog. Crew's failure to abandon the landing under adverse weather conditions.",1953,9,"Sep",NA,-35.003101,117.865952
"25","albany","03/03/1972","albany, new york","Mohawk Airlines","New York City - Albany, NY","Fairchild-Hiller FH-227-B",48,16,32,0.33,1,"The aircraft was on final approach to Albany County Airport in light snow and two miles visibility, when the pilot reported a malfunctioning left propeller cruise pitch lock. The captain ordered the engine shut down but the crew was unsuccessful in feathering the prop and the plane began to lose altitude. The plane crashed 4 miles short of the runway into a two-family house killing one man. Malfunction of the cruise pitch lock.  Inability of the crew to feather the left propeller, in combination with the descent below the minimum approach altitude. The reason for the malfunction and inability to feather the prop remains undetermined.",1972,3,"Mar",NA,-35.003101,117.865952
"26","albuquerque","07/02/1967","albuquerque, new mexico","Avanti Aviation -Air Taxi","","Cessna 210-5A",2,2,0,1,0,"Pilot misjudged altitude and distance and crashed into a mountain at 8,800 ft. Pilot tested positive for alcohol.",1967,2,"Feb",NA,-12.054203,15.209178
"27","albuquerque","03/11/1973","albuquerque,  new mexico","National Airlines","Miami, FL - San Francisco, CA","McDonnell Douglas DC-10-10",128,1,127,0.01,0,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger was sucked out of the plane.  The plane landed safely. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",1973,11,"Nov",NA,-12.054203,15.209178
"28","albuquerque","14/09/1977","albuquerque, new mexico","Military - U.S. Air Force","Kirkland AFB - Nellis AFB","Boeing - EC-135K",20,20,0,1,0,"Crashed into a mountain peak in the Manzano range shortly after taking and making a right bank. The aircraft was observed flying too low and did not heed the controller's warnings. Fatigue may have played a part in the accident.",1977,9,"Sep",NA,-12.054203,15.209178
