"","city","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"1","abakan","28/04/2002","abakan, russia","Private","","Mi-8 helicopter",20,8,12,0.4,0,"The helicopter struck power lines and crashed in near-zero visibility. Governor of Krasnoyarsk territory, Alexander Lebed, 52, was among those killed. 'Power line, power line!' were the last words of the pilot. Thick fog concealing a frost-covered power line led to the helicopter crash.",2002,4,"Apr",NA,"Abakan",53.7037,91.445,"Russia","RU","RUS","Khakasiya","admin",167289,1643946203
"2","abakan","27/11/1996","abakan, siberia, russia","Military - Russian Air Force","Abakan - Petropavlosk - Kamchatsky","Ilyushin IL-76MD",23,23,0,1,0,"The aircraft crashed shortly after takeoff. Overloaded.",1996,11,"Nov",NA,"Abakan",53.7037,91.445,"Russia","RU","RUS","Khakasiya","admin",167289,1643946203
"3","abeokuta","09/06/1946","abeokuta, nigeria","Military -Royal Air Force","Kano - Ikeja","Douglas C-47 Dakota",18,18,0,1,0,"Flying low to avoid poor weather, the aircraft crashed while en route from Kano to Ikeja.",1946,6,"Jun",NA,"Abeokuta",7.1604,3.35,"Nigeria","NG","NGA","Ogun","admin",593100,1566979497
"4","aberdeen","25/10/1999","aberdeen, south dakota","Private charter","Orlando, FL - Dallas, TX","Gates Learjet 35",6,6,0,1,0,"The plane scheduled to fly from Orlando, Florida to Dallas, Texas flew out of control for 1,500 miles before nose-diving into a grassy farm field in South Dakota, after running out of fuel. The plane's altitude varied between 22,000 and 51,000 feet during the flight. A possible pressurization failure, as indicated by frosted windows, observed by fighter jet pilots trailing the plane, may have killed all aboard. Pro golfer, Payne Stewart, 42, killed. Incapacitation of the flight crewmembers as a result of their failure to receive supplemental oxygen following a loss of cabin pressurization, for undetermined reasons.",1999,10,"Oct",NA,"Aberdeen",57.1704,-2.08,"United Kingdom","GB","GBR","Aberdeen City","admin",189364,1826324306
"5","abidjan","26/06/1994","abidjan, ivory coast","Air Ivorie","San Pedro - Abidjan","Fokker F-27 Friendship 400M",17,17,0,1,0,"Crashed on approach 3 miles short of the runway into a wooded area.",1994,6,"Jun",NA,"Abidjan",5.32,-4.04,"C_´¥ DÓ‰voire","CI","CIV","Abidjan","admin",3802000,1384207980
"6","abidjan","03/01/1987","abidjan, ivory coast","Varig","Abidjan - Rio de Janeiro","Boeing B-707-379C",51,50,1,0.98,0,"The plane crashed in the jungle while returning to Abidjan after taking with the No. 1 engine on fire.",1987,1,"Jan",NA,"Abidjan",5.32,-4.04,"C_´¥ DÓ‰voire","CI","CIV","Abidjan","admin",3802000,1384207980
"7","abidjan","30/01/2000","abidjan, ivory coast","Kenya Airways","Abidjan - Lagos","AirbusA310-304",179,169,10,0.94,0,"The aircraft crashed into the AtlantiOcean three minutes after taking from Felix Houphouet-Boigny Airport.  A few seconds after lifting the ground the stall warning sounded and continued for about 20 seconds until it was manually turned by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeconditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.",2000,1,"Jan",NA,"Abidjan",5.32,-4.04,"C_´¥ DÓ‰voire","CI","CIV","Abidjan","admin",3802000,1384207980
"8","abilene","02/09/1959","abilene, texas","Aaxico Airlines","Abilene, TX - Forth Worth, TX","Curtiss C-46A",2,2,0,1,0,"The cargo plane took off, rose to 200 ft., stalled and crashed. Elevator control lost. The aft link assembly became disconnected from the clevis in the elevator control horn assembly when an improperly secured bolt backed out.",1959,9,"Sep",NA,"Abilene",32.4543,-99.7384,"United States","US","USA","Texas","",115285,1840019476
"9","abilene","31/01/1989","abilene, texas","Military - U.S. Air Force","","Boeing KC-135A",19,19,0,1,0,"Crashed in flames after taking from Dyess Air Force Base. Failure of the water injection system during takeoff.",1989,1,"Jan",NA,"Abilene",32.4543,-99.7384,"United States","US","USA","Texas","",115285,1840019476
"10","abuja","29/10/2006","abuja, nigeria","ADC Airlines","Lagos - Abuja - Sokoto","Boeing 737-2B7",105,96,9,0.91,0,"The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take from Abuja. The pilot did not heed air trafficontrollers' advice to not depart in stormy weather.",2006,10,"Oct",NA,"Abuja",9.0833,7.5333,"Nigeria","NG","NGA","Federal Capital Territory","primary",1576000,1566342270
"11","abuja","13/09/1994","abuja, nigeria","Aerocontroctors - Charter","Lagos - Abuja","de Havilland Canada DHC-6 Twin Otter 300",5,3,2,0.6,0,"The aircraft few into the side of a hill during heavy rain, high winds and severe turbulence.",1994,9,"Sep",NA,"Abuja",9.0833,7.5333,"Nigeria","NG","NGA","Federal Capital Territory","primary",1576000,1566342270
"12","abuja","05/01/2000","abuja, nigeria","Skypower Express Airways","Lagos - Abuja","Embraer 110P1A Bandeirante",16,1,15,0.06,1,"During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.",2000,1,"Jan",NA,"Abuja",9.0833,7.5333,"Nigeria","NG","NGA","Federal Capital Territory","primary",1576000,1566342270
"13","accra","05/06/2000","accra, ghana","Ghana Airlink","Tamale - Accra","Fokker F-27 Friendship 600",52,7,45,0.13,0,"The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm.",2000,6,"Jun",NA,"Accra",5.55,-0.2167,"Ghana","GH","GHA","Greater Accra","primary",2121000,1288299415
"14","adana","21/01/1972","adana, turkey","Turkish Airlines (THY)","Damascus - Ankara","MDonnell Douglas DC-9-32",8,1,7,0.13,0,"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire.",1972,1,"Jan",NA,"Adana",36.995,35.32,"Turkey","TR","TUR","Adana","admin",1293000,1792783772
"15","adana","03/04/1954","adana, turkey","Devlet Hava Yollari","Adana - Istanbul","Douglas DC-3",25,25,0,1,0,"Crashed en route approximately 15 minutes after takefrom Adana.",1954,4,"Apr",NA,"Adana",36.995,35.32,"Turkey","TR","TUR","Adana","admin",1293000,1792783772
"16","addis ababa","18/04/1972","addis ababa, ethiopia","East African Airways","Addis Ababa - Rome","BAC Super VC-10 1154",107,43,64,0.4,0,"The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.",1972,4,"Apr",NA,"Addis Ababa",9.0333,38.7,"Ethiopia","ET","ETH","Ä€dÄ«s Ä€beba","primary",3100000,1231824991
"17","addis ababa","14/01/1982","addis ababa, ethiopia","Military - Ethiopian Air Force","","Antonov AN-26",73,73,0,1,0,"Shot down by rebel forces.",1982,1,"Jan",NA,"Addis Ababa",9.0333,38.7,"Ethiopia","ET","ETH","Ä€dÄ«s Ä€beba","primary",3100000,1231824991
"18","addis ababa","02/10/1964","addis ababa, ethiopia","Interocean","Dublin, Ireland - Addis Ababa","Lockheed L-749A-79 Constellation",7,1,6,0.14,0,"The cargo plane left the runway and crashed while landing.",1964,10,"Oct",NA,"Addis Ababa",9.0333,38.7,"Ethiopia","ET","ETH","Ä€dÄ«s Ä€beba","primary",3100000,1231824991
"19","aden","22/11/1966","aden, yemen","Aden Airways","","Douglas DC-3",30,30,0,1,0,"The aircraft crashed into the desert 20 minutes after taking off. The aircraft made contact with ATC during the climb but failed to make a scheduled report an hour later. Detonation of an explosive device placed in hand luggage in the cabin on the port side just above the wing.",1966,11,"Nov",NA,"Aden",12.7797,45.0095,"Yemen","YE","YEM","â€˜Adan","admin",1000000,1887867886
"20","aden","09/05/1982","aden, yemen","Alyemda","","de Havilland Canada DHC-7-103",49,47,2,0.96,0,"Crashed into the ocean during an approach 2 km short of the runway.",1982,5,"May",NA,"Aden",12.7797,45.0095,"Yemen","YE","YEM","â€˜Adan","admin",1000000,1887867886
"21","aden","01/03/1977","aden, yemen","Alyemda","Aden - Al Kari","Douglas DC-3",21,20,1,0.95,0,"Crashed into the ocean.",1977,3,"Mar",NA,"Aden",12.7797,45.0095,"Yemen","YE","YEM","â€˜Adan","admin",1000000,1887867886
"22","aden","15/08/1985","aden, yemen","Alyemda Airlines","Aden - Abu Dahbi","Boeing 707-336C",73,3,70,0.04,0,"As the plane reached FL230, water was spilled on the autopilot panel and the crew had to disengage the autopilot because the stabilizer trim wheel started to rotate. Control was lost as the plane pitched up and down. Control was regained at 1,000 ft. and an emergency landing was carried out.",1985,8,"Aug",NA,"Aden",12.7797,45.0095,"Yemen","YE","YEM","â€˜Adan","admin",1000000,1887867886
"23","agadir","07/02/2003","agadir, morocco","Volare Aviation Enterprise","Agadir - Algiers","Antonov 12BP",8,8,0,1,0,"Crashed in the Atlas mountain range at 9,900 feet while en route.",2003,2,"Feb",NA,"Agadir",30.44,-9.62,"Morocco","MA","MAR","Souss-Massa","admin",825467,1504116858
"24","agadir","21/08/1994","agadir, morocco","Royal Air Maroc","Agadir - Casablanca","Aerospatiale ATR-42-300",44,44,0,1,0,"The aircraft entered a steep dive from 16,000 ft. and crashed 10 minutes after taking from Agadir. The pilot was blamed for disconnecting the autopilot and deliberately causing the crash and committing suicide. This was challenged by the Moroccan Pilot's Union.",1994,8,"Aug",NA,"Agadir",30.44,-9.62,"Morocco","MA","MAR","Souss-Massa","admin",825467,1504116858
